country,year,allies,borderCountries,inversion,gdp,war
"BGD",1990,"IND","IND,MMR",1.0290514000000002,631,0
"BGD",1992,"IND","IND,MMR",1.1123397,650,0
"BGD",1996,"IND","IND,MMR",1.1920513,718,0
"BGD",2005,,"IND,MMR",1.2791066999999998,1001,0
"BGD",1977,"IND","IND,MMR",1.1200567,529,0
"BGR",1932,"TUR","GRC,MKD,ROU,SRB,TUR",20.372602,1219,0
"BGR",1964,"ALB,RUS,POL,HUN,GDR,POL,CZK,ALB,ROU,RUS","GRC,MKD,ROU,SRB,TUR",5.8680038,3657,0
"BGR",1988,"ROU,RUS,CZK,POL,HUN,GDR,POL,CZK,ROU,RUS,GDR,LBY","GRC,MKD,ROU,SRB,TUR",10.70494,6335,0
"BGR",1921,,"GRC,MKD,ROU,SRB,TUR",12.251987,1000,0
"BGR",1921,,"GRC,MKD,ROU,SRB,TUR",12.251987,1123,0
"BGR",2017,,"GRC,MKD,ROU,SRB,TUR",1.3164532,9422,1
"BGR",1933,"TUR","GRC,MKD,ROU,SRB,TUR",15.106488,1303,0
"BGR",1966,"ALB,RUS,POL,HUN,GDR,POL,CZK,ALB,ROU,RUS","GRC,MKD,ROU,SRB,TUR",4.8006611,4125,0
"BGR",1982,"ROU,RUS,CZK,POL,HUN,GDR,POL,CZK,ROU,RUS,GDR","GRC,MKD,ROU,SRB,TUR",20.695288,6370,0
"BGR",1985,"ROU,RUS,CZK,POL,HUN,GDR,POL,CZK,ROU,RUS,GDR,LBY","GRC,MKD,ROU,SRB,TUR",9.3358421,6226,0
"BGR",2019,,"GRC,MKD,ROU,SRB,TUR",1.0627508,8658,1
"BGR",1930,"TUR","GRC,MKD,ROU,SRB,TUR",21.106567,1274,0
"BGR",1930,"TUR","GRC,MKD,ROU,SRB,TUR",21.106567,997,0
"BGR",1963,"ALB,RUS,POL,HUN,GDR,POL,CZK,ALB,ROU,RUS","GRC,MKD,ROU,SRB,TUR",6.5729179,3418,0
"BGR",1965,"ALB,RUS,POL,HUN,GDR,POL,CZK,ALB,ROU,RUS","GRC,MKD,ROU,SRB,TUR",4.9184833,3850,0
"BGR",1992,"GRC,ROU,TUR,RUS","GRC,MKD,ROU,SRB,TUR",12.574746,4882,0
"BGR",2012,"GRC,ROU,TUR,RUS,ALB,BLR","GRC,MKD,ROU,SRB,TUR",1.3448591,8749,1
"BGR",1926,,"GRC,MKD,ROU,SRB,TUR",26.235144,1241,0
"BGR",1926,,"GRC,MKD,ROU,SRB,TUR",26.235144,1053,0
"BGR",1926,,"GRC,MKD,ROU,SRB,TUR",26.235144,1024,0
"BGR",1938,"TUR,GIB,FRA,YUG,GRC,ROU,RUS,TUR,EGY,YUG,GRC,ROU,TUR","GRC,MKD,ROU,SRB,TUR",30.874655,1499,0
"BGR",1954,"ALB,RUS,POL,HUN","GRC,MKD,ROU,SRB,TUR",9.7905455,2025,0
"BGR",1954,"ALB,RUS,POL,HUN","GRC,MKD,ROU,SRB,TUR",9.7905455,1648,0
