Conflict,Combatant 1,Combatant 2,Result
APRA coup d'état(1950),Indonesia Netherlands,Legion of Ratu Adil,Victory
Makassar Uprising(1950),Indonesia,East Indonesia,Victory
Invasion of Ambon(1950),Indonesia,Republic of South Maluku,Victory
PRRI and Permesta rebellion(1958-1961),Indonesia  Communist Party of Indonesia,Revolutionary Government of the Republic of Indonesia Permesta United States   Central Intelligence Agency,Victory
Congo Crisis(1960-1963),Republic of the Congo ONUC,Katanga South Kasai,Victory
Operation Trikora(1961-1962),Indonesia Soviet Union[2],Netherlands  Netherlands New Guinea,Victory[3][4]
Papua conflict(1962-2016),Indonesia,Free Papua Movement,Ongoing
Brunei Revolt(1962),Brunei People's Party Indonesia,United Kingdom Brunei Malaya,Defeat
Indonesia-Malaysia Confrontation(1963-1966),Indonesia  Indonesian volunteers  Communist Party of Indonesia  North Kalimantan Communist Party  Brunei People's Party,Malaysia  Singapore  United Kingdom Australia New Zealand Brunei,Defeat
30 September Movement(1965),Indonesia,Indonesian militants,Indecisive
Indonesian Civil War(1965-1966),Indonesia,Communist Party of Indonesia,Victory
Indonesian invasion of East Timor(1975-1976),Indonesia,Fretilin   Falintil,Victory
Indonesian occupation of East Timor(1976-1999),Indonesia  Timor Timur,East Timor  National Council of Maubere Resistance  Fretilin  Timorese Democratic Union,Withdrawal
Insurgency in Aceh(1976-2005),Indonesia,Free Aceh Movement,Victory
Lord's Resistance Army insurgency(1987-ongoing),Uganda DR Congo Central African Republic South Sudan MONUSCO,Lord's Resistance Army,Ongoing
Somali Civil War(1992-1995),United Nations  UNOSOM I  UNITAF  UNOSOM II,United Somali Congress,Indecisive
Bosnian War(1992-1995),Bosnia and Herzegovina Herzeg-Bosnia Croatia NATO UNPROFOR,Republika Srpska Serbian Krajina Western Bosnia,Stalemate
Motaain border incident(1999),Indonesia,INTERFET  Australia,Stalemate
Operation Enduring Freedom - Horn of Africa (2002-ongoing),NATO Australia Azerbaijan China Colombia Djibouti Ethiopia European Union India Indonesia Japan Kazakhstan Kenya Kyrgyzstan Malaysia New Zealand North Korea Pakistan Russia Saudi Arabia Seychelles Sudan Singapore Somalia South Korea Tajikistan Thailand Turkmenistan Uganda Ukraine Uzbekistan,Islamic State of Iraq and the Levant al-Qaeda Harakat al-Shabaab Mujahedeen al-Itihaad al-Islamiya Islamic Courts Union Hizbul Islam Alliance for the Re-liberation of Somalia Ras Kamboni Brigades Jabhatul Islamiya Mu'askar Anole Somali Marines National Volunteer Coast Guard Marka group Puntland group Yemeni Pirates,Ongoing
Operation Tinombala(2016-2019),Indonesia,East Indonesia Mujahideen,Ongoing
