,country,year
475,GIB,1934
476,GIB,1935
477,GIB,1936
478,GIB,1937
479,GIB,1938
480,GIB,1939
481,GIB,1940
482,GIB,1941
483,GIB,1942
484,GIB,1943
485,GIB,1944
486,GIB,1945
487,GIB,1947
488,GIB,1948
489,GIB,1949
490,GIB,1950
491,GIB,1951
492,GIB,1952
493,GIB,1953
494,GIB,1954
495,GIB,1955
496,GIB,1956
497,GIB,1957
498,GIB,1958
499,GIB,1959
500,USA,1914
501,USA,1915
502,USA,1916
503,USA,1917
504,USA,1918
505,USA,1919
506,USA,1943
507,USA,1944
508,USA,1950
509,USA,1951
510,USA,1952
511,USA,1966
512,USA,1967
513,USA,1968
514,USA,1969
515,USA,1970
516,USA,1971
517,USA,1972
518,USR,1900
519,USR,1901
520,USR,1902
521,USR,1903
522,USR,1904
523,USR,1914
524,USR,1915
525,USR,1916
526,USR,1917
527,USR,1918
528,USR,1919
529,USR,1937
530,USR,1938
531,USR,1939
532,USR,1940
533,USR,1941
534,USR,1942
535,USR,1943
536,USR,1944
537,USR,1951
538,USR,1952
539,USR,1953
540,USR,1954
541,USR,1955
542,YUG,1911
543,YUG,1912
544,YUG,1915
545,YUG,1916
546,YUG,1917
