"warno","statenum","stateabb","yrbeg1","monbeg1","daybeg1","yrend1","monend1","dayend1","yrbeg2","monbeg2","daybeg2","yrend2","monend2","dayend2","duration","deaths","outcome","initiate","sysstat","prwarpop","prwararm","westhem","europe","africa","mideast","asia","oceania","version","warname","censubsy","subsysea","majpowin","majpowea","edition","pbdeadlow","pbdeadhigh","pbdeadbest","tbdeadlow","tbdeadhigh","tbdeadbest"
"139","355","BUL","1941","12","13","1944","9","8","-999","-999","-999","-999","-999","-999","1001","9000","2","0","1","6674","-999","0","1","0","0","0","0","3","World War II","0","0","1","1","0","4585","4585","4585","24494079","24494079","24494079"
"139","360","RUM","1944","9","9","1945","5","7","-999","-999","-999","-999","-999","-999","241","10000","1","0","1","16642","975","0","1","0","0","0","0","3","World War II","0","0","1","1","0","109941","109941","109941","24494079","24494079","24494079"
"139","375","FIN","1941","6","25","1944","9","19","-999","-999","-999","-999","-999","-999","1183","65000","2","0","1","3838","-999","0","1","0","0","0","0","3","World War II","0","0","1","1","0","79547","79547","79547","24494079","24494079","24494079"
"139","385","NOR","1940","4","9","1940","6","9","-999","-999","-999","-999","-999","-999","62","3000","1","0","1","3014","4","0","1","0","0","0","0","3","World War II","0","0","1","1","0","3348","3348","3348","24494079","24494079","24494079"
"139","530","ETH","1941","1","24","1941","7","3","-999","-999","-999","-999","-999","-999","161","5000","1","0","1","13437","-999","0","0","1","0","0","0","3","World War II","0","0","1","1","0","5000","5000","5000","24494079","24494079","24494079"
"139","560","SAF","1939","9","6","1945","8","14","-999","-999","-999","-999","-999","-999","2170","8700","1","0","1","10170","5","0","0","1","0","0","0","3","World War II","0","0","1","1","0","6840","6840","6840","24494079","24494079","24494079"
"139","710","CHN","1941","12","7","1945","8","14","-999","-999","-999","-999","-999","-999","1347","1350000","1","0","1","530248","2584","0","0","0","0","1","0","3","World War II","0","0","1","1","0","750000","750000","750000","24494079","24494079","24494079"
"139","712","MON","1945","8","10","1945","8","14","-999","-999","-999","-999","-999","-999","5","3000","1","0","1","710","80","0","0","0","0","1","0","3","World War II","0","0","1","1","0","3000","3000","3000","24494079","24494079","24494079"
"139","355","BUL","1944","9","9","1945","5","7","-999","-999","-999","-999","-999","-999","241","1000","1","0","1","6886","450","0","1","0","0","0","0","3","World War II","0","0","1","1","0","4586","4586","4586","24494079","24494079","24494079"
"139","900","AUL","1939","9","3","1945","8","14","-999","-999","-999","-999","-999","-999","2173","33826","1","0","1","6968","8","0","0","1","1","1","1","3","World War II","0","0","1","1","0","23365","23365","23365","24494079","24494079","24494079"
